Net Status Report
Filename     : D:\PAY_IFB\hw\HW\PAY_IFB\2_PAY_IFP_V2\SpaceLiin_Satellite_4U_IFP_HW_2.0.0\01_DESIGN\BEE-1012 PAY-IF V1.1.0.PcbDoc
Date         : 29-Mar-26
Time         : 4:10:33 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    SAMA7_FLASH_SPI_MISO/MD1, Signal Layers Only, 0mm
    SAMA7_FLASH_SPI_MOSI/MD0, Signal Layers Only, 0mm
    SAMA7_FPGA_HEATBEAT, Signal Layers Only, 2.7757mm
    SAMA7_FPGA_INT_ERROR, Signal Layers Only, 3.5439mm
    SAMA7_LVDS_SPI_RX_SEL, Signal Layers Only, 5.4138mm
    SAMA7_LVDS_SPI_TX_SEL, Signal Layers Only, 0mm
    SAMA7_SPARE_IN1, Signal Layers Only, 0mm
    SAMA7_SPARE_IN2, Signal Layers Only, 0mm
    SAMA7_SPI_RX_AVAIL, Signal Layers Only, 0mm
    SAMA7_SPI_RX_CSN, Signal Layers Only, 1.5826mm
    SAMA7_SPI_TX_CSN, Signal Layers Only, 0mm
    SAMA7_SPI_TX_READY, Signal Layers Only, 0mm
    SAM_RTC_I2C_SCL, Signal Layers Only, 2.3308mm
    SAM_RTC_I2C_SDA, Signal Layers Only, 7.4166mm
    SCL_EXP_CONNECTOR, Signal Layers Only, 0mm
    SD2_CLK, Signal Layers Only, 0mm
    SD2_CMD, Signal Layers Only, 0mm
    SD2_DATA0, Signal Layers Only, 0mm
    SD2_DATA1, Signal Layers Only, 0mm
    SD2_DATA2, Signal Layers Only, 0mm
    SD2_DATA3, Signal Layers Only, 0mm
    SD2_nCD, Signal Layers Only, 0mm
    SDA_EXP_CONNECTOR, Signal Layers Only, 4.2571mm
    SENSE1_N, Signal Layers Only, 0mm
    SENSE1_P, Signal Layers Only, 0mm
    SENSE2_N, Signal Layers Only, 0mm
    SENSE2_P, Signal Layers Only, 0mm
    SENSE3_N, Signal Layers Only, 0mm
    SENSE3_P, Signal Layers Only, 0mm
    SENSE4_N, Signal Layers Only, 0mm
    SENSE4_P, Signal Layers Only, 0mm
    SHDN, Signal Layers Only, 26.7147mm
    SOM_CANRX0, Signal Layers Only, 10.391mm
    SOM_CANRX1, Signal Layers Only, 0mm
    SOM_CANTX0, Signal Layers Only, 0mm
    SOM_CANTX1, Signal Layers Only, 0mm
    SOM_CONSOLE_RX, Signal Layers Only, 8.6586mm
    SOM_CONSOLE_TX, Signal Layers Only, 0mm
    SOM_EMMC_nRST, Signal Layers Only, 21.9487mm
    SOM_MRAM_QSPI_CLK, Signal Layers Only, 0mm
    SOM_MRAM_QSPI_IO0, Signal Layers Only, 0mm
    SOM_MRAM_QSPI_IO1, Signal Layers Only, 0mm
    SOM_MRAM_QSPI_IO2, Signal Layers Only, 0mm
    SOM_MRAM_QSPI_IO3, Signal Layers Only, 0mm
    SOM_RAM_QSPI_nCS, Signal Layers Only, 0mm
    SOM_RS422_RX, Signal Layers Only, 0mm
    SOM_RS422_TX, Signal Layers Only, 0mm
    SOM_SDMMC0_CD_PA14, Signal Layers Only, 0mm
    SOM_SDMMC0_OUT_CK, Signal Layers Only, 15.9033mm
    SOM_SDMMC0_OUT_CMD, Signal Layers Only, 9.0625mm
    SOM_SDMMC0_OUT_D0, Signal Layers Only, 0mm
    SOM_SDMMC0_OUT_D1, Signal Layers Only, 8.7706mm
    SOM_SDMMC0_OUT_D2, Signal Layers Only, 0mm
    SOM_SDMMC0_OUT_D3, Signal Layers Only, 8.566mm
    SOM_SDMMC0_OUT_D4, Signal Layers Only, 20.5066mm
    SOM_SDMMC0_OUT_D5, Signal Layers Only, 13.133mm
    SOM_SDMMC0_OUT_D6, Signal Layers Only, 9.8355mm
